Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,is_job_hopper,abs_raise,manager_share,dissatisfaction_score,burnout_risk,distance_x_overtime,life_stage
36,1,Travel_Rarely,1218.0,Sales,9.0,4.0,Life Sciences,3.0,Male,82.0,2.0,,Sales Representative,1.0,Single,6986.0,7.0,No,23.0,4.0,2.0,0.0,10.0,4.0,3.0,5.0,3.0,0.0,3.0,1,78361.0,0.6,11.0,0,0.0,Other
34,0,Travel_Rarely,419.0,Research & Development,7.0,4.0,Life Sciences,1.0,Female,53.0,3.0,3.0,Research Director,2.0,Single,21293.0,0.0,No,11.0,3.0,3.0,0.0,13.0,4.0,3.0,12.0,6.0,2.0,11.0,0,131934.0,0.9166666666666666,11.0,0,0.0,Other
21,0,Travel_Rarely,391.0,Research & Development,15.0,2.0,Life Sciences,3.0,Male,96.0,3.0,1.0,Research Scientist,4.0,Single,19281.0,1.0,No,14.0,3.0,4.0,0.0,0.0,6.0,3.0,0.0,0.0,,0.0,0,17248.0,,6.0,0,0.0,Young_Single
34,1,Travel_Rarely,699.0,Research & Development,6.0,1.0,Medical,2.0,Male,83.0,3.0,1.0,Research Scientist,1.0,Single,,2.0,No,11.0,3.0,3.0,0.0,8.0,2.0,3.0,4.0,2.0,1.0,3.0,0,32560.0,0.75,11.0,0,0.0,Other
53,0,Travel_Rarely,1282.0,Research & Development,5.0,3.0,Other,3.0,Female,58.0,3.0,5.0,Manager,3.0,Divorced,10735.0,4.0,No,11.0,3.0,4.0,1.0,26.0,3.0,2.0,14.0,13.0,4.0,8.0,0,210034.0,0.5714285714285714,8.0,0,0.0,Senior
32,1,Travel_Frequently,1125.0,Research & Development,16.0,1.0,Life Sciences,2.0,Female,72.0,1.0,1.0,Research Scientist,1.0,Single,4681.0,1.0,Yes,22.0,4.0,2.0,0.0,10.0,5.0,,10.0,2.0,6.0,7.0,0,86218.0,0.7,10.0,1,16.0,Other
42,0,Travel_Rarely,691.0,Sales,8.0,4.0,Marketing,3.0,Male,48.0,3.0,2.0,Sales Executive,2.0,Married,21173.0,0.0,No,11.0,3.0,4.0,1.0,10.0,2.0,3.0,9.0,7.0,4.0,2.0,0,75075.0,0.2222222222222222,8.0,0,0.0,Mid_Career_Family
44,0,Travel_Rarely,477.0,Research & Development,7.0,4.0,Medical,1.0,Female,42.0,2.0,3.0,Healthcare Representative,4.0,Married,2094.0,3.0,No,14.0,3.0,4.0,1.0,24.0,4.0,3.0,22.0,6.0,5.0,17.0,0,143472.0,0.7727272727272727,8.0,0,0.0,Mid_Career_Family
46,0,Travel_Rarely,705.0,Sales,2.0,4.0,Marketing,2.0,Female,83.0,3.0,5.0,Manager,1.0,Single,22822.0,3.0,No,12.0,3.0,4.0,0.0,22.0,2.0,2.0,2.0,2.0,2.0,1.0,0,227364.0,0.5,11.0,0,0.0,Senior
33,0,Travel_Rarely,924.0,Research & Development,2.0,3.0,Medical,3.0,Male,78.0,3.0,1.0,Laboratory Technician,4.0,Single,6670.0,4.0,No,11.0,3.0,4.0,0.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,1,27456.0,0.0,6.0,0,0.0,Other
44,0,Travel_Rarely,1459.0,Research & Development,10.0,4.0,Other,4.0,Male,41.0,3.0,2.0,Healthcare Representative,4.0,Married,19121.0,2.0,Yes,13.0,3.0,4.0,0.0,,5.0,4.0,4.0,,1.0,3.0,0,84045.0,0.75,4.0,0,10.0,Mid_Career_Family
30,0,Travel_Rarely,125.0,Research & Development,9.0,2.0,Medical,4.0,Male,83.0,2.0,1.0,Laboratory Technician,3.0,Single,16117.0,1.0,No,13.0,3.0,1.0,0.0,10.0,5.0,3.0,10.0,0.0,1.0,8.0,0,28678.0,0.8,9.0,0,0.0,Other
39,1,Travel_Rarely,895.0,Sales,5.0,3.0,Technical Degree,4.0,Male,56.0,3.0,2.0,Sales Representative,4.0,Married,3335.0,3.0,No,14.0,3.0,3.0,1.0,19.0,6.0,4.0,1.0,0.0,0.0,0.0,0,29204.0,0.0,5.0,0,0.0,Mid_Career_Family
24,1,Travel_Rarely,813.0,Research & Development,1.0,3.0,Medical,2.0,Male,61.0,3.0,1.0,Research Scientist,4.0,Married,3020.0,2.0,Yes,16.0,,1.0,1.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0,0,,0.0,11.0,1,1.0,Other
43,0,Travel_Rarely,1273.0,Research & Development,2.0,2.0,Medical,4.0,Female,72.0,4.0,1.0,Research Scientist,3.0,Divorced,21923.0,1.0,No,12.0,3.0,4.0,2.0,6.0,3.0,2.0,5.0,3.0,1.0,4.0,0,31740.0,0.8,7.0,0,0.0,Mid_Career_Family
50,1,Travel_Rarely,869.0,,,2.0,Marketing,1.0,Male,86.0,2.0,1.0,Sales Representative,3.0,Married,3810.0,1.0,Yes,14.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,0,37562.0,0.6666666666666666,10.0,1,,Senior
35,0,Travel_Rarely,890.0,Sales,2.0,3.0,Marketing,4.0,Female,97.0,3.0,1.0,Sales Representative,4.0,Married,9687.0,1.0,No,13.0,3.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0,26182.0,1.0,8.0,0,0.0,Mid_Career_Family
36,0,Travel_Rarely,852.0,Research & Development,5.0,4.0,Life Sciences,2.0,Female,82.0,2.0,1.0,Research Scientist,1.0,Married,13072.0,9.0,Yes,14.0,3.0,4.0,1.0,6.0,3.0,4.0,1.0,1.0,0.0,0.0,1,47866.0,0.0,9.0,1,5.0,Mid_Career_Family
33,0,Travel_Frequently,1141.0,Sales,1.0,3.0,Life Sciences,3.0,Female,42.0,4.0,2.0,Sales Executive,1.0,Married,3193.0,2.0,No,19.0,3.0,1.0,,10.0,3.0,3.0,5.0,3.0,1.0,3.0,0,,0.6,12.0,0,0.0,Mid_Career_Family
35,0,Travel_Rarely,464.0,Research & Development,4.0,2.0,Other,3.0,Male,75.0,3.0,1.0,Laboratory Technician,4.0,Divorced,10910.0,1.0,No,12.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0,23412.0,0.0,7.0,0,0.0,Mid_Career_Family
27,0,Travel_Rarely,1240.0,Research & Development,2.0,4.0,Life Sciences,4.0,Female,33.0,3.0,1.0,Laboratory Technician,1.0,Divorced,19715.0,1.0,No,13.0,3.0,4.0,1.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,0,30433.0,0.0,8.0,0,0.0,Other
26,1,Travel_Rarely,,,25.0,3.0,Life Sciences,1.0,,,1.0,1.0,Laboratory Technician,3.0,Single,10558.0,1.0,No,,3.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0,,1.0,11.0,0,0.0,Young_Single
27,0,Travel_Frequently,994.0,Sales,8.0,3.0,Life Sciences,4.0,Male,37.0,3.0,3.0,Sales Executive,3.0,Single,2975.0,1.0,No,15.0,3.0,4.0,0.0,9.0,0.0,3.0,9.0,8.0,1.0,7.0,0,130890.0,0.7777777777777778,6.0,0,0.0,Young_Single
30,0,Travel_Frequently,721.0,Research & Development,1.0,2.0,Medical,3.0,Female,58.0,3.0,2.0,Laboratory Technician,4.0,Single,10781.0,1.0,No,23.0,4.0,4.0,0.0,12.0,2.0,3.0,,8.0,3.0,7.0,0,92253.0,,6.0,0,0.0,Other
41,1,Travel_Rarely,1360.0,Research & Development,12.0,3.0,Technical Degree,2.0,Female,49.0,3.0,5.0,Research Director,3.0,Married,16280.0,1.0,No,12.0,3.0,4.0,0.0,23.0,0.0,3.0,22.0,15.0,15.0,8.0,0,,0.36363636363636365,8.0,0,0.0,Mid_Career_Family
34,0,Non-Travel,1065.0,Sales,23.0,4.0,Marketing,2.0,Male,72.0,3.0,2.0,Sales Executive,3.0,Single,10034.0,0.0,No,20.0,4.0,3.0,0.0,10.0,2.0,3.0,9.0,5.0,8.0,7.0,0,91360.0,0.7777777777777778,9.0,0,0.0,Other
37,0,Travel_Rarely,408.0,Research & Development,19.0,2.0,Life Sciences,2.0,Male,73.0,3.0,1.0,Research Scientist,2.0,Married,10227.0,4.0,,21.0,4.0,1.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,1,63462.0,0.0,12.0,0,0.0,Mid_Career_Family
46,0,Travel_Frequently,1211.0,Sales,5.0,4.0,Marketing,1.0,Male,98.0,3.0,2.0,Sales Executive,4.0,Single,20445.0,4.0,Yes,21.0,4.0,3.0,0.0,,4.0,3.0,9.0,6.0,0.0,8.0,0,121212.0,0.8888888888888888,9.0,1,5.0,Senior
35,0,Travel_Rarely,1229.0,Research & Development,8.0,1.0,Life Sciences,4.0,Male,36.0,4.0,1.0,Laboratory Technician,4.0,Married,4892.0,1.0,No,19.0,3.0,4.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0,43111.0,1.0,5.0,0,0.0,Mid_Career_Family
48,1,Travel_Rarely,626.0,Research & Development,1.0,,Life Sciences,1.0,Male,98.0,2.0,3.0,Laboratory Technician,3.0,Single,19294.0,9.0,Yes,13.0,3.0,4.0,0.0,23.0,2.0,3.0,,0.0,0.0,0.0,0,69953.0,,9.0,1,1.0,Senior
28,1,Travel_Rarely,1434.0,Research & Development,5.0,4.0,Technical Degree,3.0,Male,50.0,3.0,1.0,Laboratory Technician,3.0,Single,11179.0,1.0,Yes,13.0,3.0,,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0,44733.0,1.0,7.0,0,5.0,Young_Single
44,0,Travel_Rarely,,Sales,1.0,5.0,Marketing,2.0,Female,75.0,3.0,2.0,Sales Executive,1.0,Divorced,4009.0,5.0,Yes,21.0,4.0,3.0,1.0,9.0,2.0,2.0,4.0,3.0,1.0,3.0,1,114534.0,0.75,12.0,1,1.0,Mid_Career_Family
35,0,Non-Travel,1097.0,Research & Development,11.0,2.0,Medical,3.0,Male,79.0,2.0,3.0,Healthcare Representative,1.0,Married,8302.0,2.0,Yes,13.0,3.0,3.0,1.0,10.0,3.0,3.0,4.0,0.0,2.0,3.0,0,128492.0,0.75,10.0,1,11.0,Mid_Career_Family
26,0,Travel_Rarely,1443.0,Sales,23.0,3.0,Marketing,3.0,Female,47.0,2.0,2.0,Sales Executive,4.0,,21436.0,7.0,Yes,19.0,3.0,3.0,1.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,1,78983.0,0.0,8.0,0,23.0,
33,0,Travel_Frequently,515.0,Research & Development,1.0,2.0,Life Sciences,1.0,Female,98.0,3.0,3.0,Research Director,4.0,Single,,1.0,Yes,12.0,3.0,3.0,0.0,15.0,1.0,3.0,15.0,14.0,8.0,12.0,0,161496.0,0.8,9.0,1,1.0,Other
35,0,Travel_Frequently,853.0,Sales,18.0,5.0,Life Sciences,2.0,Male,71.0,3.0,3.0,,1.0,,11031.0,1.0,No,22.0,4.0,4.0,1.0,,3.0,2.0,9.0,8.0,1.0,8.0,0,199518.0,0.8888888888888888,11.0,0,0.0,
35,0,Travel_Rarely,1142.0,Research & Development,23.0,4.0,Medical,3.0,Female,30.0,3.0,1.0,Laboratory Technician,1.0,Married,16002.0,3.0,Yes,15.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,0,60210.0,1.0,10.0,1,23.0,Mid_Career_Family
31,0,Travel_Rarely,655.0,Research & Development,7.0,,Life Sciences,4.0,Male,48.0,3.0,2.0,Laboratory Technician,4.0,Divorced,9528.0,3.0,No,22.0,4.0,4.0,1.0,10.0,3.0,2.0,7.0,7.0,1.0,7.0,0,130130.0,1.0,6.0,0,0.0,Mid_Career_Family
37,0,Travel_Rarely,1115.0,Research & Development,1.0,4.0,Life Sciences,1.0,Male,51.0,2.0,2.0,Manufacturing Director,3.0,Divorced,2689.0,1.0,No,18.0,3.0,3.0,1.0,7.0,2.0,4.0,7.0,5.0,0.0,7.0,0,107874.0,1.0,9.0,0,0.0,Mid_Career_Family
32,0,Travel_Rarely,427.0,Research & Development,1.0,3.0,Medical,1.0,Male,33.0,3.0,2.0,Manufacturing Director,4.0,Married,10877.0,1.0,Yes,22.0,4.0,2.0,1.0,9.0,3.0,3.0,9.0,8.0,7.0,8.0,0,135564.0,0.8888888888888888,10.0,1,1.0,Mid_Career_Family
38,0,Travel_Frequently,653.0,Research & Development,29.0,5.0,Life Sciences,4.0,Female,50.0,3.0,2.0,Laboratory Technician,4.0,Single,5456.0,1.0,No,11.0,3.0,4.0,0.0,10.0,2.0,3.0,10.0,3.0,9.0,9.0,0,26466.0,0.9,5.0,0,0.0,Other
50,0,Travel_Rarely,989.0,Research & Development,7.0,2.0,Medical,2.0,Female,43.0,2.0,5.0,Research Director,3.0,Divorced,16701.0,5.0,Yes,12.0,3.0,4.0,1.0,29.0,2.0,2.0,27.0,3.0,13.0,8.0,0,224880.0,0.2962962962962963,9.0,1,7.0,Senior
59,0,Travel_Rarely,1435.0,Sales,25.0,3.0,Life Sciences,1.0,Female,99.0,3.0,3.0,Sales Executive,1.0,Single,2354.0,7.0,No,11.0,3.0,4.0,,28.0,3.0,2.0,21.0,16.0,7.0,9.0,0,84007.0,0.42857142857142855,12.0,0,0.0,Senior
36,0,Travel_Rarely,1223.0,,8.0,3.0,Technical Degree,3.0,Female,59.0,3.0,3.0,Healthcare Representative,3.0,Divorced,8202.0,1.0,No,13.0,3.0,2.0,3.0,17.0,2.0,3.0,17.0,,12.0,8.0,0,131248.0,0.47058823529411764,9.0,0,0.0,Mid_Career_Family
55,0,Travel_Rarely,836.0,Research & Development,8.0,3.0,Medical,4.0,Female,33.0,3.0,,Manager,3.0,,19730.0,2.0,Yes,14.0,3.0,3.0,3.0,21.0,2.0,3.0,5.0,0.0,0.0,2.0,0,206584.0,0.4,7.0,0,8.0,
36,0,Travel_Frequently,1195.0,Research & Development,11.0,3.0,Life Sciences,2.0,Male,95.0,,2.0,Manufacturing Director,2.0,Single,22656.0,1.0,No,13.0,3.0,3.0,0.0,6.0,3.0,3.0,6.0,5.0,0.0,3.0,0,84487.0,0.5,10.0,0,0.0,Other
45,0,Travel_Rarely,1339.0,Research & Development,7.0,3.0,Life Sciences,2.0,Male,59.0,3.0,3.0,Research Scientist,1.0,Divorced,18787.0,2.0,No,17.0,3.0,3.0,1.0,25.0,2.0,3.0,1.0,0.0,0.0,0.0,0,165308.0,0.0,11.0,0,0.0,Senior
35,0,Travel_Frequently,664.0,Research & Development,1.0,3.0,Medical,2.0,Male,79.0,3.0,1.0,Research Scientist,1.0,Married,5868.0,4.0,No,13.0,3.0,4.0,1.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,1,28522.0,0.6666666666666666,11.0,0,0.0,Mid_Career_Family
36,1,Travel_Rarely,318.0,Research & Development,9.0,3.0,Medical,4.0,,79.0,2.0,1.0,Research Scientist,3.0,Married,21777.0,0.0,Yes,,,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0,,0.0,10.0,1,9.0,Mid_Career_Family
59,0,Travel_Frequently,1225.0,,1.0,1.0,Life Sciences,1.0,Female,57.0,2.0,2.0,Sales Executive,3.0,Single,24668.0,7.0,No,11.0,3.0,4.0,0.0,20.0,2.0,2.0,4.0,3.0,1.0,3.0,0,60203.0,0.75,10.0,0,0.0,Senior
29,0,Travel_Rarely,1328.0,Research & Development,2.0,3.0,Life Sciences,3.0,Male,76.0,3.0,1.0,Research Scientist,2.0,Married,4956.0,0.0,No,23.0,4.0,4.0,1.0,6.0,3.0,3.0,5.0,4.0,0.0,4.0,0,62169.0,0.8,8.0,0,0.0,Other
31,0,Travel_Rarely,1082.0,Research & Development,1.0,4.0,Medical,3.0,Male,87.0,3.0,1.0,Research Scientist,2.0,Single,18775.0,1.0,No,17.0,3.0,2.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0,42517.0,0.0,10.0,0,0.0,Other
32,0,Travel_Rarely,548.0,Research & Development,1.0,3.0,Life Sciences,2.0,Male,66.0,3.0,2.0,Research Scientist,2.0,Married,7346.0,1.0,No,17.0,3.0,2.0,2.0,10.0,3.0,3.0,10.0,4.0,0.0,9.0,0,105740.0,0.9,11.0,0,0.0,Mid_Career_Family
36,0,Travel_Rarely,132.0,Research & Development,6.0,3.0,Life Sciences,2.0,Female,55.0,4.0,1.0,,4.0,Married,22002.0,3.0,No,12.0,3.0,2.0,0.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0,36456.0,0.0,9.0,0,0.0,Mid_Career_Family
31,0,Travel_Rarely,746.0,Research & Development,8.0,4.0,Life Sciences,3.0,Female,61.0,3.0,2.0,Manufacturing Director,4.0,Single,20682.0,1.0,No,23.0,4.0,4.0,0.0,11.0,2.0,3.0,11.0,7.0,1.0,8.0,0,101752.0,0.7272727272727273,6.0,0,0.0,Other
35,0,Travel_Rarely,776.0,Sales,1.0,4.0,Marketing,3.0,Male,32.0,2.0,2.0,Sales Executive,1.0,Single,23016.0,0.0,No,14.0,3.0,2.0,0.0,16.0,2.0,3.0,15.0,13.0,2.0,8.0,0,60368.0,0.5333333333333333,11.0,0,0.0,Other
45,0,Travel_Rarely,193.0,Research & Development,6.0,4.0,Other,4.0,Male,52.0,3.0,3.0,Research Director,1.0,Married,15067.0,4.0,Yes,14.0,3.0,2.0,0.0,,3.0,4.0,0.0,0.0,,0.0,0,185430.0,,9.0,1,6.0,Senior
37,0,Travel_Rarely,397.0,Research & Development,7.0,4.0,Medical,1.0,Male,30.0,,3.0,Research Director,3.0,Single,,4.0,No,13.0,3.0,1.0,0.0,16.0,3.0,4.0,5.0,2.0,0.0,2.0,0,177632.0,0.4,11.0,0,0.0,Other
46,0,Travel_Rarely,945.0,Human Resources,5.0,2.0,Medical,2.0,Male,80.0,3.0,2.0,Human Resources,2.0,Divorced,10425.0,8.0,Yes,22.0,4.0,4.0,1.0,16.0,2.0,3.0,4.0,2.0,0.0,2.0,0,110462.0,0.5,9.0,1,5.0,Senior
30,0,Travel_Rarely,852.0,Research & Development,1.0,1.0,Life Sciences,4.0,Male,55.0,2.0,2.0,Laboratory Technician,4.0,Married,15998.0,1.0,Yes,12.0,3.0,3.0,2.0,10.0,1.0,2.0,10.0,8.0,3.0,0.0,0,,0.0,7.0,0,1.0,Mid_Career_Family
35,0,Travel_Rarely,1214.0,,1.0,3.0,Medical,2.0,Male,30.0,2.0,1.0,Research Scientist,3.0,Single,26278.0,1.0,No,18.0,3.0,1.0,0.0,6.0,3.0,3.0,6.0,4.0,0.0,4.0,0,51462.0,0.6666666666666666,11.0,0,0.0,Other
55,0,Travel_Rarely,111.0,Sales,1.0,2.0,Life Sciences,1.0,Male,70.0,3.0,3.0,Sales Executive,4.0,Married,18092.0,3.0,No,,3.0,4.0,1.0,24.0,4.0,3.0,1.0,0.0,1.0,0.0,0,,0.0,8.0,0,0.0,Senior
38,0,Non-Travel,573.0,Research & Development,6.0,3.0,Medical,2.0,Female,79.0,1.0,2.0,Research Scientist,4.0,Divorced,15717.0,7.0,Yes,12.0,3.0,4.0,3.0,17.0,3.0,3.0,13.0,11.0,1.0,9.0,0,63948.0,0.6923076923076923,7.0,0,6.0,Mid_Career_Family
34,0,Travel_Rarely,1153.0,Research & Development,1.0,2.0,Medical,1.0,Male,94.0,3.0,2.0,Manufacturing Director,2.0,Married,17736.0,1.0,No,15.0,3.0,3.0,0.0,5.0,2.0,3.0,5.0,2.0,1.0,3.0,0,64875.0,0.6,11.0,0,0.0,Mid_Career_Family
56,0,Travel_Rarely,1400.0,Research & Development,7.0,3.0,Life Sciences,4.0,Male,49.0,1.0,3.0,Manufacturing Director,4.0,Single,21698.0,4.0,No,11.0,3.0,1.0,0.0,37.0,3.0,2.0,6.0,4.0,0.0,2.0,0,79860.0,0.3333333333333333,9.0,0,0.0,Senior
23,0,Travel_Rarely,541.0,Sales,2.0,1.0,Technical Degree,3.0,Male,62.0,3.0,1.0,,1.0,Divorced,9518.0,3.0,No,13.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0,30186.0,,10.0,0,0.0,Other
51,0,Travel_Rarely,432.0,Research & Development,9.0,4.0,Life Sciences,4.0,Male,96.0,3.0,1.0,Laboratory Technician,4.0,Married,18725.0,3.0,No,23.0,4.0,2.0,2.0,10.0,4.0,3.0,4.0,2.0,0.0,3.0,0,47725.0,0.75,7.0,0,0.0,Senior
